,CountryCode,Language,IsOfficial,Percentage
756,RUS,Tatar,F,3.2
757,RUS,Udmur,F,0.3
758,RUS,Ukrainian,F,1.3
759,RWA,French,T,0.0
760,RWA,Rwanda,T,100.0
761,SAU,Arabic,T,95.0
762,SDN,Arabic,T,49.4
763,SDN,Bari,F,2.5
764,SDN,Beja,F,6.4
765,SDN,Chilluk,F,1.7
766,SDN,Dinka,F,11.5
767,SDN,Fur,F,2.1
768,SDN,Lotuko,F,1.5
769,SDN,Nubian Languages,F,8.1
770,SDN,Nuer,F,4.9
771,SDN,Zande,F,2.7
772,SEN,Diola,F,5.0
773,SEN,Ful,F,21.7
774,SEN,Malinke,F,3.8
775,SEN,Serer,F,12.5
776,SEN,Soninke,F,1.3
777,SEN,Wolof,T,48.1
778,SGP,Chinese,T,77.1
779,SGP,Malay,T,14.1
780,SGP,Tamil,T,7.4
781,SHN,English,T,0.0
782,SJM,Norwegian,T,0.0
783,SJM,Russian,F,0.0
784,SLB,Malenasian Languages,F,85.6
785,SLB,Papuan Languages,F,8.6
786,SLB,Polynesian Languages,F,3.8
787,SLE,Bullom-sherbro,F,3.8
788,SLE,Ful,F,3.8
789,SLE,Kono-vai,F,5.1
790,SLE,Kuranko,F,3.4
791,SLE,Limba,F,8.3
792,SLE,Mende,F,34.8
793,SLE,Temne,F,31.8
794,SLE,Yalunka,F,3.4
795,SLV,Nahua,F,0.0
796,SLV,Spanish,T,100.0
797,SMR,Italian,T,100.0
798,SOM,Arabic,T,0.0
799,SOM,Somali,T,98.3
800,SPM,French,T,0.0
801,STP,Crioulo,F,86.3
802,STP,French,F,0.7
803,SUR,Hindi,F,0.0
804,SUR,Sranantonga,F,81.0
805,SVK,Czech and Moravian,F,1.1
806,SVK,Hungarian,F,10.5
807,SVK,Romani,F,1.7
808,SVK,Slovak,T,85.6
809,SVK,Ukrainian and Russian,F,0.6
810,SVN,Hungarian,F,0.5
811,SVN,Serbo-Croatian,F,7.9
812,SVN,Slovene,T,87.9
813,SWE,Arabic,F,0.8
